celebrity_age_during_season,celebrity_industry,season,average_score
32.0,TV Personality,1.0,6.125
42.0,Athlete,1.0,5.0
35.0,Model,1.0,7.9375
32.0,Singer/Rapper,1.0,7.075
50.0,Actor/Actress,1.0,8.083333333333334
29.0,Actor/Actress,1.0,7.125
46.0,Sports Broadcaster,2.0,4.25
42.0,Actor/Actress,2.0,6.75
44.0,News Anchor,2.0,7.666666666666667
35.0,Singer/Rapper,2.0,4.411764705882353
39.0,Actor/Actress,2.0,7.65
66.0,Actor/Actress,2.0,7.208333333333333
42.0,Actor/Actress,2.0,8.017857142857142
26.0,Athlete,2.0,9.1875
43.0,Athlete,2.0,7.534375
29.0,Singer/Rapper,2.0,9.134375
37.0,TV Personality,3.0,4.0
31.0,Model,3.0,6.625
54.0,Actor/Actress,3.0,6.666666666666667
42.0,Actor/Actress,3.0,8.0625
25.0,Singer/Rapper,3.0,8.1
35.0,Singer/Rapper,3.0,7.0
62.0,TV Personality,3.0,6.785714285714286
25.0,Actor/Actress,3.0,8.328125
30.0,Actor/Actress,3.0,8.63888888888889
32.0,Actor/Actress,3.0,8.965
37.0,Athlete,3.0,8.59
41.0,Model,4.0,6.625
28.0,Beauty Pagent,4.0,6.666666666666667
50.0,TV Personality,4.0,6.3125
44.0,Athlete,4.0,5.15
39.0,Model,4.0,7.416666666666667
59.0,Actor/Actress,4.0,6.375
45.0,Singer/Rapper,4.0,6.3125
42.0,Actor/Actress,4.0,8.097222222222221
29.0,Athlete,4.0,8.73
30.0,Singer/Rapper,4.0,8.9125
24.0,Athlete,4.0,8.9925
29.0,Model,5.0,5.25
22.0,Model,5.0,7.0
65.0,Singer/Rapper,5.0,5.75
30.0,Athlete,5.0,6.9375
49.0,TV Personality,5.0,6.8
23.0,Actor/Actress,5.0,9.0
56.0,Actor/Actress,5.0,8.142857142857142
38.0,Actor/Actress,5.0,8.125
35.0,Actor/Actress,5.0,8.430555555555555
47.0,Singer/Rapper,5.0,8.1125
32.0,Singer/Rapper,5.0,9.08
32.0,Racing Driver,5.0,8.885
53.0,Magician,6.0,5.5
34.0,Athlete,6.0,5.0
49.0,Actor/Actress,6.0,6.083333333333333
43.0,Radio Personality,6.0,6.125
62.0,Actor/Actress,6.0,7.6
42.0,Actor/Actress,6.0,7.416666666666667
34.0,Actor/Actress,6.0,8.089285714285714
21.0,Singer/Rapper,6.0,8.4375
35.0,Actor/Actress,6.0,7.75
34.0,Actor/Actress,6.0,8.2875
33.0,Athlete,6.0,8.7375
36.0,Athlete,6.0,9.425
43.0,Comedian,7.0,4.0
50.0,Actor/Actress,7.0,6.125
27.0,TV Personality,7.0,5.9375
31.0,Athlete,7.0,7.0
41.0,TV Personality,7.0,5.96875
40.0,Singer/Rapper,7.0,7.425
82.0,Actor/Actress,7.0,5.791666666666667
61.0,Actor/Actress,7.0,7.303571428571429
34.0,Athlete,7.0,7.484375
18.0,Actor/Actress,7.0,7.625
29.0,Singer/Rapper,7.0,8.1125
35.0,Athlete,7.0,8.0375
37.0,TV Personality,7.0,8.9875
50.0,Singer/Rapper,8.0,5.875
38.0,Actor/Actress,8.0,6.083333333333333
30.0,TV Personality,8.0,5.75
58.0,Entrepreneur,8.0,4.647058823529412
52.0,Actor/Actress,8.0,6.9
34.0,TV Personality,8.0,5.291666666666667
50.0,Athlete,8.0,6.571428571428571
29.0,Singer/Rapper,8.0,7.71875
34.0,Singer/Rapper,8.0,8.527777777777779
39.0,Athlete,8.0,7.225
26.0,TV Personality,8.0,8.875
33.0,Actor/Actress,8.0,9.227272727272727
17.0,Athlete,8.0,8.840909090909092
34.0,Actor/Actress,9.0,5.0
42.0,Singer/Rapper,9.0,5.0
46.0,Model,9.0,5.625
62.0,Politician,9.0,5.416666666666667
45.0,Actor/Actress,9.0,6.0
39.0,Athlete,9.0,5.75
27.0,Athlete,9.0,7.45
33.0,Actor/Actress,9.0,7.041666666666667
21.0,Athlete,9.0,6.458333333333333
43.0,Athlete,9.0,6.071428571428571
45.0,Actor/Actress,9.0,7.285714285714286
21.0,Singer/Rapper,9.0,7.9375
30.0,Model,9.0,8.305555555555555
24.0,TV Personality,9.0,7.6875
29.0,Singer/Rapper,9.0,8.84
51.0,Singer/Rapper,9.0,8.184999999999999
38.0,Actor/Actress,10.0,6.375
80.0,Astronaut,10.0,4.333333333333333
32.0,Actor/Actress,10.0,5.90625
35.0,TV Personality,10.0,5.1
32.0,TV Personality,10.0,6.916666666666667
42.0,Model,10.0,7.339285714285714
40.0,Actor/Actress,10.0,6.796875
32.0,Athlete,10.0,7.097222222222222
32.0,Sports Broadcaster,10.0,8.075
24.0,Athlete,10.0,8.6975
31.0,Singer/Rapper,10.0,9.045
58.0,Actor/Actress,11.0,5.0
57.0,Singer/Rapper,11.0,4.625
41.0,Comedian,11.0,5.666666666666667
28.0,TV Personality,11.0,5.625
76.0,Actor/Actress,11.0,6.375
25.0,TV Personality,11.0,7.708333333333333
41.0,Athlete,11.0,7.775862068965517
39.0,Athlete,11.0,7.212121212121212
31.0,Singer/Rapper,11.0,8.567567567567568
19.0,TV Personality,11.0,7.234146341463415
19.0,Actor/Actress,11.0,8.102439024390243
50.0,Actor/Actress,11.0,8.71951219512195
32.0,Radio Personality,12.0,5.0
46.0,TV Personality,12.0,5.166666666666667
54.0,Athlete,12.0,6.3125
31.0,Model,12.0,7.05
40.0,Athlete,12.0,7.458333333333333
25.0,TV Personality,12.0,7.068965517241379
21.0,Singer/Rapper,12.0,7.848484848484849
49.0,Actor/Actress,12.0,7.837837837837838
22.0,Actor/Actress,12.0,8.490243902439024
60.0,Actor/Actress,12.0,7.985365853658536
35.0,Athlete,12.0,8.721951219512196
31.0,Athlete,13.0,4.75
33.0,Actor/Actress,13.0,6.0
24.0,TV Personality,13.0,7.166666666666667
43.0,Singer/Rapper,13.0,7.5
41.0,TV Personality,13.0,6.5
42.0,TV Personality,13.0,6.291666666666667
40.0,Actor/Actress,13.0,7.392857142857143
51.0,TV Personality,13.0,6.96875
30.0,Athlete,13.0,7.597222222222222
42.0,Actor/Actress,13.0,8.785
24.0,TV Personality,13.0,7.904999999999999
28.0,Actor/Actress,13.0,8.675
55.0,Athlete,14.0,6.25
52.0,Actor/Actress,14.0,7.583333333333333
44.0,Actor/Actress,14.0,7.625
35.0,Singer/Rapper,14.0,7.15
