celebrity_industry,avg_score,median_score,score_std,num_contestants,min_score,max_score,avg_placement,best_placement,avg_age
Musician,8.95,8.95,,1,8.95,8.95,2.0,2.0,31.0
Producer,8.659,8.659,,1,8.659,8.659,2.0,2.0,35.0
Social Media Personality,8.497,8.599,0.665,8,7.357,9.238,5.375,1.0,23.5
Military,8.134,8.134,,1,8.134,8.134,3.0,3.0,22.0
Racing Driver,7.948,8.359,1.296,4,6.156,8.916,5.0,1.0,37.25
Fitness Instructor,7.888,7.888,,1,7.888,7.888,3.0,3.0,34.0
Motivational Speaker,7.8,7.8,,1,7.8,7.8,3.0,3.0,33.0
Actor/Actress,7.527,7.712,1.222,121,3.5,9.275,6.636,1.0,41.554
Singer/Rapper,7.516,7.786,1.243,59,4.188,9.212,6.746,1.0,38.492
Athlete,7.409,7.518,1.297,89,4.25,9.425,6.315,1.0,35.146
News Anchor,7.378,7.667,1.32,3,5.938,8.53,8.0,3.0,46.667
TV Personality,7.063,7.036,1.29,61,4.0,9.216,6.77,1.0,36.623
Model,6.797,6.938,1.08,16,5.0,8.708,8.875,1.0,33.938
Beauty Pagent,6.667,6.667,,1,6.667,6.667,10.0,10.0,28.0
Fashion Designer,6.625,6.625,,1,6.625,6.625,10.0,10.0,72.0
Radio Personality,6.417,6.625,1.094,4,5.0,7.417,8.25,1.0,40.75
Sports Broadcaster,6.162,6.162,2.705,2,4.25,8.075,6.5,3.0,39.0
Comedian,6.095,5.875,1.503,11,4.0,8.788,8.909,3.0,50.545
Entrepreneur,5.62,5.25,1.526,3,4.312,7.297,9.667,6.0,59.333
Politician,5.556,5.5,0.173,3,5.417,5.75,10.333,6.0,58.667
Magician,5.5,5.5,,1,5.5,5.5,12.0,12.0,53.0
Astronaut,4.333,4.333,,1,4.333,4.333,10.0,10.0,80.0
Journalist,4.25,4.25,,1,4.25,4.25,12.0,12.0,72.0
