celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry,celebrity_age_during_season,season,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week1_avg_judge_score,week1_total_judge_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week2_avg_judge_score,week2_total_judge_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week3_avg_judge_score,week3_total_judge_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week4_avg_judge_score,week4_total_judge_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week5_avg_judge_score,week5_total_judge_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week6_avg_judge_score,week6_total_judge_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week7_avg_judge_score,week7_total_judge_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week8_avg_judge_score,week8_total_judge_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week9_avg_judge_score,week9_total_judge_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week10_avg_judge_score,week10_total_judge_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week11_avg_judge_score,week11_total_judge_score,results,placement
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32.00,1.00,6.00,6.00,6.00,N/A,6.00,18.00,6.00,7.00,6.00,N/A,6.00,19.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eliminated Week 2,6.00
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42.00,1.00,5.00,7.00,6.00,N/A,6.00,18.00,5.00,4.00,5.00,N/A,5.00,14.00,5.00,4.00,4.00,N/A,4.00,13.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eliminated Week 3,5.00
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35.00,1.00,7.00,6.00,7.00,N/A,7.00,20.00,8.00,8.00,8.00,N/A,8.00,24.00,8.00,9.00,9.00,N/A,9.00,26.00,7.00,9.00,9.00,N/A,8.00,25.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eliminated Week 4,4.00
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32.00,1.00,7.00,7.00,6.00,N/A,7.00,20.00,8.00,7.00,6.00,N/A,7.00,21.00,7.00,7.00,8.00,N/A,7.00,22.00,7.00,6.00,7.00,N/A,7.00,20.00,8.50,7.00,7.00,N/A,8.00,23.00,0.00,0.00,0.00,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3rd Place,3.00
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50.00,1.00,7.00,7.00,6.00,N/A,7.00,20.00,8.00,9.00,9.00,N/A,9.00,26.00,9.00,8.00,7.00,N/A,8.00,24.00,7.00,8.00,6.00,N/A,7.00,21.00,9.00,9.00,9.00,N/A,9.00,27.00,9.00,9.00,9.00,N/A,9.00,27.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2nd Place,2.00
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29.00,1.00,5.00,4.00,4.00,N/A,4.00,13.00,5.00,6.00,6.00,N/A,6.00,17.00,6.00,7.00,8.00,N/A,7.00,21.00,9.00,9.00,8.00,N/A,9.00,26.00,8.50,7.50,7.50,N/A,8.00,24.00,8.50,9.50,9.50,N/A,9.00,28.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1st Place,1.00
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46.00,2.00,4.00,5.00,4.00,N/A,4.00,13.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eliminated Week 1,10.00
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42.00,2.00,7.00,8.00,8.00,N/A,8.00,23.00,5.00,6.00,6.00,N/A,6.00,17.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eliminated Week 2,9.00
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44.00,2.00,7.00,8.00,8.00,N/A,8.00,23.00,8.00,8.00,8.00,N/A,8.00,24.00,7.00,8.00,7.00,N/A,7.00,22.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eliminated Week 3,8.00
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35.00,2.00,4.00,4.00,4.00,N/A,4.00,12.00,6.00,5.00,5.00,N/A,5.00,16.00,6.00,4.00,4.00,N/A,5.00,14.00,4.00,2.00,2.00,N/A,3.00,8.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eliminated Week 4,7.00
